#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
603,29.494792,-38.019444,G,11110.908078,0.037062,,21,1,45,13,8,18,,3,6,3,1
604,29.728625,36.674694,G,4838.050687,0.016138,,78,1,64,16,17,8,,4,15,1,2
605,29.777833,36.063,G,5469.113811,0.018243,,63,,56,13,10,6,,13,24,1,3
606,29.553542,-39.54475,G,5532.070227,0.018453,,43,1,47,11,10,18,,12,14,3,1
607,29.789375,25.385722,G,5059.897106,0.016878,,32,1,39,13,10,6,,3,15,1,4
608,29.815542,24.416611,G,3914.989709,0.013059,,37,2,46,14,10,2,,2,6,1,5
609,29.716375,-8.16225,G,4787.085969,0.015968,,46,2,38,13,8,4,,3,11,9,2
610,29.87902,13.943774,G,4609.908627,0.015377,,49,1,84,18,14,15,,3,11,10,5
611,29.980375,24.312222,G,5089.876352,0.016978,,30,,51,13,10,4,,4,7,1,4
612,30.062333,24.252778,G,4844.945914,0.016161,,41,1,49,15,10,6,,,8,1,3
613,30.079417,24.473694,G,4927.988425,0.016438,,73,2,64,21,15,6,,12,18,1,3
614,30.097375,24.580556,G,5064.993578,0.016895,,55,1,49,19,14,7,,3,15,1,3
615,30.042165,-35.410944,G,10451.964256,0.034864,,10,,15,6,3,13,2,3,4,2,
616,30.2455,8.311167,G,4713.037232,0.015721,,42,1,49,18,13,7,,9,12,1,3
617,30.300792,19.67525,G,2433.115589,0.008116,,42,1,40,16,9,6,,10,11,3,2
618,30.228833,-31.919778,G,5482.904264,0.018289,,20,,37,10,9,15,,4,4,3,2
619,30.276864,-6.815517,G,4078.076806,0.013603,,235,10,131,38,27,7,,,15,12,3
620,30.310625,-34.363028,G,4805.073517,0.016028,,20,,28,8,6,14,2,3,4,2,1
621,30.549358,-0.130432,G,5926.896895,0.01977,,63,1,93,21,16,16,,,12,7,3
622,30.550125,-28.657444,G,5001.137784,0.016682,,43,1,46,11,12,19,,13,16,3,3
623,30.9015,48.45525,G,7431.855034,0.02479,,25,1,17,8,5,7,,8,11,1,2
624,30.728792,7.523861,G,7588.946282,0.025314,,32,,40,15,11,6,,3,8,1,3
625,30.498708,-58.570778,G,6381.082469,0.021285,,34,2,43,12,9,17,,13,15,3,1
626,30.77175,2.61425,G,6387.078318,0.021305,,36,,40,16,10,7,,12,18,1,2
627,30.936792,38.258722,G,5767.107515,0.019237,,178,1,74,18,17,8,,13,26,1,4
628,30.921083,26.276917,G,5014.02886,0.016725,,39,2,47,15,12,5,1,3,7,1,5
629,30.904208,15.746861,G,7975.078968,0.026602,,23,,41,11,10,4,,4,6,1,4
630,30.898042,4.785722,G,4755.008176,0.015861,,23,,40,13,9,6,,3,8,1,3
631,30.93625,16.030972,G,2100.945489,0.007008,,104,2,80,25,19,8,,31,41,8,5
632,31.020542,2.786833,G,6316.027505,0.021068,,47,1,52,20,13,7,,4,7,2,4
633,30.985833,-23.311611,G,4963.96352,0.016558,,53,2,49,15,6,19,,7,10,3,
