#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
369 20.445208 5.256722 -77.4818  23.46063738 0.00757900  0.00783948
370 20.555417 33.260278  456.7774  38.55977467 0.01444300  0.01289970
371 20.571417 28.797928  340.2196  38.53241640 0.01404000  0.01289052
372 20.511966 5.367191 -77.4818  22.99148986 0.00742200  0.00768244
373 20.454917 -44.057528 -307.5635  74.46073034 0.02392700  0.02497855
374 20.49382 -34.144749 -186.6695  101.83472927 0.03359000  0.03423398
375 20.599064 -0.875207 -119.4692  82.12079288 0.02715500  0.02756449
376 20.730833 33.173889 -632.3359  60.79023310 0.01821900  0.02037121
377 20.6955 -1.392 -574.3565  62.97321782 0.01915000  0.02110628
378 20.798333 33.529167 -564.3434  65.48022678 0.02002700  0.02195077
379 20.810438 -0.70134 -151.7236  21.50440979 0.00667500  0.00718473
